Anid;Al;Alternate ID;As;Ba;Ca;Ce;Co;Context;Country;Cr;Cs;Dy;Eu;Exterior Decoration;Fe;Hf;Interior Decoration;Investigator;K;La;Latitude (copie);Latitude;Longitude (copie);Longitude;Lu;Material;Mn;Na;Nd;Ni;Nombre d'enregistrements;Period category;Period (groupe) null or not;Period;Rb;Sb;Sc;Site Name;Sm;Source/Excavator/Museum;Sr;State/Province;Ta;Tb;Th;Ti;U;V;Vessel Form;Ware;Yb;Zn;Zr
RBLS028;96520,125;192998;9,5098;822,5032;11224,4844;64,4165;14,2226;;Peru;39,0252;6,3487;4,0761;1,4438;;49480,0078;4,9476;;Burger, Richard;28559,5996;32,6968;-13,1633;-13.1633;-72,5456;-72.5456;0,3531;pottery;1040,6986;12134,5664;27,5298;0;1;Autre;Null, ?, n/a;;130,2633;1,9527;11,2157;Machu Picchu;5,7134;Yale University;416,839;Cuzco Department;1,1365;0,7489;8,9267;4776,1284;2,9512;105,8116;cooking pot;;2,3837;96,438;124,3802
RBLS029;109739,0781;194173;4,6524;759,6559;9711,6289;64,8484;9,3728;;Peru;42,1704;7,7923;3,7348;1,301;;33449,2461;5,7821;;Burger, Richard;24951,3984;32,5639;-13,1633;-13.1633;-72,5456;-72.5456;0,3545;pottery;404,316;15757,0283;28,2754;0;1;Autre;Null, ?, n/a;;101,5325;0,6905;16,1255;Machu Picchu;5,3545;Yale University;295,2938;Cuzco Department;1,4666;0,5892;8,3331;7272,9497;2,7864;168,8892;Plate;;1,9823;143,6629;146,3034
RBLS030;97768,7734;191711;4,8315;756,9975;18836,3809;78,1812;17,7519;;Peru;62,621;6,9961;5,4693;1,5692;;48433,9141;5,9294;;Burger, Richard;34073,5586;38,6602;-13,1633;-13.1633;-72,5456;-72.5456;0,444;pottery;908,5973;10199,9531;33,9106;34,2194;1;Autre;Null, ?, n/a;;105,7085;1,0318;16,1179;Machu Picchu;7,2737;Yale University;300,4441;Cuzco Department;1,4455;0,9435;11,9825;5109,9907;3,2633;109,8368;Bottle;;3,0794;104,1539;137,7289
RBLS031;94820,7344;191667;8,5192;1372,2954;20374,9961;160,2143;11,6617;;Peru;55,1147;7,9998;5,432;2,9934;;36682,2852;6,3065;;Burger, Richard;37443,7773;79,5445;-13,1633;-13.1633;-72,5456;-72.5456;0,4243;pottery;887,4259;15630,6055;72,2413;0;1;Autre;Null, ?, n/a;;127,4161;0,7544;16,2862;Machu Picchu;13,1322;Yale University;960,0989;Cuzco Department;0,9873;1,0607;21,9776;4981,5024;5,0116;128,4285;Plate;;2,6387;165,0577;198,2259
RBLS032;108097,3516;190542;10,0283;1414,8779;16056,9121;154,8286;28,2578;;Peru;51,6297;7,6283;5,9928;2,362;;68209,75;6,6132;;Burger, Richard;25108,9258;66,2082;-13,1633;-13.1633;-72,5456;-72.5456;0,3733;pottery;731,2738;8586,8232;53,9155;57,88;1;Autre;Null, ?, n/a;;142,4143;0,5698;21,0504;Machu Picchu;10,009;Yale University;718,4414;Cuzco Department;2,0512;1,0327;11,0981;10914,3535;2,4009;184,1777;aryballo;;2,9207;92,0906;157,5682
RBLS033;101347,4922;192493;7,7086;930,6981;19132,6758;109,7521;9,5548;;Peru;51,8589;5,4844;4,6647;2,0685;;32505,002;5,4381;;Burger, Richard;31137,1738;55,2242;-13,1633;-13.1633;-72,5456;-72.5456;0,3106;pottery;479,2702;14594,7393;49,4429;26,1614;1;Autre;Null, ?, n/a;;109,4632;0,5397;14,0622;Machu Picchu;9,1789;Yale University;659,6813;Cuzco Department;0,9365;0,9545;16,2416;5834,8911;3,0779;128,848;Plate;;2,1848;102,1088;148,7648
RBLS034;93729,4766;192493;2,5517;833,2249;23241,6504;94,633;14,7807;;Peru;47,6068;4,9308;3,0777;1,7466;;41275,9961;5,6408;;Burger, Richard;32611,1367;47,7517;-13,1633;-13.1633;-72,5456;-72.5456;0,3548;pottery;481,5706;16717,8027;37,65;22,8101;1;Autre;Null, ?, n/a;;97,9812;0,4399;13,9095;Machu Picchu;7,4907;Yale University;631,2523;Cuzco Department;1,0478;0,8404;12,2335;5116,8008;2,8128;115,9599;Plate;;2,3395;96,0855;146,9043
RBLS035;93591,3906;192493;10,4478;890,5759;16920,041;130,4631;16,7486;;Peru;84,0123;4,5556;5,1804;1,9723;;49396,0664;7,3398;;Burger, Richard;34156,4141;69,3399;-13,1633;-13.1633;-72,5456;-72.5456;0,4022;pottery;626,6438;14034,1963;50,2927;0;1;Autre;Null, ?, n/a;;99,9914;0,9392;15,9855;Machu Picchu;9,0769;Yale University;520,8888;Cuzco Department;1,4201;0,9054;14,4212;5713,7197;2,6357;116,8631;Plate;;2,9149;89,5969;184,8179
RBLS036;109068,2734;192498;8,5996;370,3686;33552,1523;30,1835;36,6614;;Peru;100,9842;2,7995;2,5702;0,9653;;67810,375;2,3381;;Burger, Richard;9855,8809;14,4772;-13,1633;-13.1633;-72,5456;-72.5456;0,1928;pottery;1113,2838;14427,9404;12,0351;59,8308;1;Autre;Null, ?, n/a;;39,1196;0,3499;22,8348;Machu Picchu;3,3456;Yale University;243,8567;Cuzco Department;0,417;0,8413;3,4497;4117,0273;0,9866;218,0517;aryballo;;1,3534;86,8605;37,6671
RBLS037;88527,7266;193148;1,8195;1931,9446;25468,0469;265,6179;16,6662;;Peru;71,0099;5,0147;5,0543;3,0342;;44804,6914;6,0462;;Burger, Richard;34399,3516;145,7609;-13,1633;-13.1633;-72,5456;-72.5456;0,286;pottery;533,0554;16962,6602;95,5316;71,0286;1;Autre;Null, ?, n/a;;101,0389;0,5335;13,562;Machu Picchu;14,2881;Yale University;1529,6544;Cuzco Department;1,2735;0,9955;15,3571;4828,0518;3,2329;119,2725;aryballo;;2,1386;97,6657;206,1764
